X Lag Time	Record 8: Sample-1 1
0.5	0.893
1	0.9
1.5	0.899
2	0.897
2.5	0.896
3	0.895
3.5	0.896
4	0.894
4.5	0.893
5.5	0.891
6.5	0.888
7.5	0.886
8.5	0.884
9.5	0.882
10.5	0.881
11.5	0.877
12.5	0.876
14.5	0.872
16.5	0.867
18.5	0.863
20.5	0.86
22.5	0.856
24.5	0.852
26.5	0.848
28.5	0.844
32.5	0.836
36.5	0.828
40.5	0.82
44.5	0.812
48.5	0.804
52.5	0.796
56.5	0.79
60.5	0.782
68.5	0.767
76.5	0.752
84.5	0.739
92.5	0.725
101	0.711
109	0.698
117	0.685
125	0.672
141	0.647
157	0.623
173	0.6
189	0.578
205	0.557
221	0.536
237	0.517
253	0.498
285	0.462
317	0.428
349	0.397
381	0.368
413	0.342
445	0.317
477	0.295
509	0.274
573	0.237
637	0.205
701	0.178
765	0.154
829	0.133
893	0.116
957	0.101
1.02E+03	0.0888
1.15E+03	0.0675
1.28E+03	0.0515
1.40E+03	0.0396
1.53E+03	0.0304
1.66E+03	0.0235
1.79E+03	0.0185
1.92E+03	0.0142
2.04E+03	0.0112
2.30E+03	0.00734
2.56E+03	0.00632
2.81E+03	0.00587
3.07E+03	0.00589
3.32E+03	0.00515
3.58E+03	0.00481
3.84E+03	0.00401
4.09E+03	0.00393
4.60E+03	0.00131
5.12E+03	0.000917
5.63E+03	0.00121
6.14E+03	0.00405
6.65E+03	0.005
7.16E+03	0.00363
7.68E+03	0.00441
8.19E+03	0.00422
9.21E+03	0.00324
1.02E+04	0.00193
1.13E+04	0.00103
1.23E+04	0.00238
1.33E+04	0.00245
1.43E+04	0.00164
1.54E+04	0.000621
1.64E+04	0.00103
1.84E+04	0.00477
2.05E+04	0.000893
2.25E+04	0.00382
2.46E+04	0.00314
2.66E+04	0.00139
2.87E+04	0.00324
3.07E+04	0.0033
3.28E+04	0.00229
3.69E+04	0.00534
4.10E+04	0.00486
4.51E+04	0.00338
4.91E+04	0.000686
5.32E+04	0.00215
5.73E+04	0.00421
6.14E+04	0.00333
6.55E+04	0.00276
7.37E+04	0.00298
8.19E+04	0.0022
9.01E+04	0.00096
9.83E+04	0.00267
1.06E+05	0.00234
1.15E+05	0.0022
1.23E+05	0.00267
1.31E+05	0.0033
1.47E+05	0.00267
1.64E+05	0.00176
1.80E+05	0.00284
1.97E+05	0.0032
2.13E+05	0.000643
2.29E+05	0.00243
2.46E+05	0.00185
2.62E+05	0.00111
2.95E+05	0.00135
3.28E+05	0.00144
3.60E+05	0.0018
3.93E+05	0.00112
4.26E+05	0.0012
4.59E+05	0.000665
4.92E+05	0.00119
5.24E+05	0.00118
5.90E+05	0.00172
6.55E+05	0.00214
7.21E+05	0.00149
7.86E+05	0.00189
8.52E+05	0.00117
9.18E+05	0.00173
9.83E+05	0.0016
1.05E+06	0.000377
1.18E+06	8.00E-05
1.31E+06	0.000239
1.44E+06	0.000487
1.57E+06	0.00105
1.70E+06	0.000365
1.84E+06	0.000228
1.97E+06	0.000107
2.10E+06	0.000387
2.36E+06	0.000728
2.62E+06	0.00113
2.88E+06	0.00119
3.15E+06	0.000815
3.41E+06	0.00101
3.67E+06	0.000567
3.93E+06	0.0011
4.19E+06	0
4.72E+06	0
5.24E+06	0
5.77E+06	0
6.29E+06	0
6.82E+06	0
7.34E+06	0
7.86E+06	0
8.39E+06	0
9.44E+06	0
1.05E+07	0
1.15E+07	0
1.26E+07	0
1.36E+07	0
1.47E+07	0
1.57E+07	0
1.68E+07	0
1.89E+07	0
2.10E+07	0
2.31E+07	0
2.52E+07	0
2.73E+07	0
2.94E+07	0
3.15E+07	0
3.36E+07	0
3.77E+07	0
4.19E+07	0
4.61E+07	0
5.03E+07	0
5.45E+07	0
5.87E+07	0
