X Intensity	Record 11: Sample-2 1
0.4	0
0.463	0
0.536	0
0.621	0
0.719	0
0.833	0
0.965	0
1.12	0
1.29	0
1.5	0
1.74	0
2.01	0
2.33	0
2.7	0
3.12	0
3.62	0
4.19	0
4.85	0
5.61	0
6.5	0
7.53	0
8.72	0
10.1	0
11.7	0
13.5	0
15.7	0
18.2	0
21	0
24.4	0
28.2	0
32.7	0
37.8	0
43.8	0
50.7	0
58.8	0
68.1	0
78.8	0
91.3	0
106	0
122	0
142	0
164	0
190	0
220	0
255	0
295	0.947
342	4.37
396	9.37
459	14.2
531	17.3
615	17.7
712	15.4
825	11.2
955	6.52
1.11E+03	2.58
1.28E+03	0.403
1.48E+03	0
1.72E+03	0
1.99E+03	0
2.30E+03	0
2.67E+03	0
3.09E+03	0
3.58E+03	0
4.15E+03	0
4.80E+03	0
5.56E+03	0
6.44E+03	0
7.46E+03	0
8.63E+03	0
