X Lag Time	Record 42: Sample 5 2
0.5	0.933
1	0.942
1.5	0.94
2	0.938
2.5	0.936
3	0.934
3.5	0.931
4	0.933
4.5	0.932
5.5	0.931
6.5	0.927
7.5	0.926
8.5	0.925
9.5	0.924
10.5	0.922
11.5	0.919
12.5	0.917
14.5	0.912
16.5	0.911
18.5	0.907
20.5	0.904
22.5	0.898
24.5	0.895
26.5	0.891
28.5	0.887
32.5	0.88
36.5	0.873
40.5	0.864
44.5	0.859
48.5	0.85
52.5	0.845
56.5	0.838
60.5	0.831
68.5	0.817
76.5	0.803
84.5	0.791
92.5	0.778
101	0.765
109	0.754
117	0.741
125	0.73
141	0.707
157	0.684
173	0.664
189	0.644
205	0.624
221	0.606
237	0.588
253	0.571
285	0.538
317	0.507
349	0.479
381	0.453
413	0.429
445	0.407
477	0.385
509	0.366
573	0.331
637	0.3
701	0.274
765	0.25
829	0.23
893	0.212
957	0.197
1.02E+03	0.183
1.15E+03	0.16
1.28E+03	0.142
1.40E+03	0.127
1.53E+03	0.114
1.66E+03	0.104
1.79E+03	0.0948
1.92E+03	0.0879
2.04E+03	0.0821
2.30E+03	0.0728
2.56E+03	0.0665
2.81E+03	0.0619
3.07E+03	0.0584
3.32E+03	0.0533
3.58E+03	0.0486
3.84E+03	0.0455
4.09E+03	0.0446
4.60E+03	0.043
5.12E+03	0.0387
5.63E+03	0.0359
6.14E+03	0.036
6.65E+03	0.0367
7.16E+03	0.0371
7.68E+03	0.0374
8.19E+03	0.0387
9.21E+03	0.039
1.02E+04	0.0336
1.13E+04	0.0373
1.23E+04	0.0375
1.33E+04	0.0343
1.43E+04	0.0337
1.54E+04	0.0343
1.64E+04	0.0357
1.84E+04	0.038
2.05E+04	0.0361
2.25E+04	0.0345
2.46E+04	0.0369
2.66E+04	0.038
2.87E+04	0.0383
3.07E+04	0.0373
3.28E+04	0.0361
3.69E+04	0.0404
4.10E+04	0.0352
4.51E+04	0.0348
4.91E+04	0.0352
5.32E+04	0.0381
5.73E+04	0.0357
6.14E+04	0.0364
6.55E+04	0.0334
7.37E+04	0.0307
8.19E+04	0.0326
9.01E+04	0.0351
9.83E+04	0.0341
1.06E+05	0.0359
1.15E+05	0.0354
1.23E+05	0.0331
1.31E+05	0.0329
1.47E+05	0.0348
1.64E+05	0.0362
1.80E+05	0.0351
1.97E+05	0.0368
2.13E+05	0.0355
2.29E+05	0.0312
2.46E+05	0.0322
2.62E+05	0.031
2.95E+05	0.0296
3.28E+05	0.0316
3.60E+05	0.0307
3.93E+05	0.0306
4.26E+05	0.0283
4.59E+05	0.0279
4.92E+05	0.0276
5.24E+05	0.028
5.90E+05	0.027
6.55E+05	0.0271
7.21E+05	0.0248
7.86E+05	0.0217
8.52E+05	0.0193
9.18E+05	0.0185
9.83E+05	0.0166
1.05E+06	0.0158
1.18E+06	0.0119
1.31E+06	0.00943
1.44E+06	0.00701
1.57E+06	0.00384
1.70E+06	0.00228
1.84E+06	0.00171
1.97E+06	0.00125
2.10E+06	0
2.36E+06	0
2.62E+06	0
2.88E+06	0
3.15E+06	0
3.41E+06	0.000145
3.67E+06	0.000347
3.93E+06	0.00233
4.19E+06	0
4.72E+06	0
5.24E+06	0
5.77E+06	0
6.29E+06	0
6.82E+06	0
7.34E+06	0
7.86E+06	0
8.39E+06	0
9.44E+06	0
1.05E+07	0
1.15E+07	0
1.26E+07	0
1.36E+07	0
1.47E+07	0
1.57E+07	0
1.68E+07	0
1.89E+07	0
2.10E+07	0
2.31E+07	0
2.52E+07	0
2.73E+07	0
2.94E+07	0
3.15E+07	0
3.36E+07	0
3.77E+07	0
4.19E+07	0
4.61E+07	0
5.03E+07	0
5.45E+07	0
5.87E+07	0
