X Intensity	Record 42: Sample 5 2
0.4	0
0.463	0
0.536	0
0.621	0
0.719	0
0.833	0
0.965	0
1.12	0
1.29	0
1.5	0
1.74	0
2.01	0
2.33	0
2.7	0
3.12	0
3.62	0
4.19	0
4.85	0
5.61	0
6.5	0
7.53	0
8.72	0
10.1	0
11.7	0
13.5	0
15.7	0
18.2	0
21	0
24.4	0
28.2	0
32.7	0
37.8	0
43.8	0
50.7	0
58.8	0
68.1	0
78.8	0
91.3	0
106	0
122	0.134
142	2.43
164	6.12
190	9.72
220	12.1
255	12.7
295	11.6
342	9.34
396	6.57
459	3.92
531	1.83
615	0.531
712	0
825	0
955	0.381
1.11E+03	1.03
1.28E+03	1.79
1.48E+03	2.49
1.72E+03	2.99
1.99E+03	3.22
2.30E+03	3.14
2.67E+03	2.78
3.09E+03	2.22
3.58E+03	1.56
4.15E+03	0.931
4.80E+03	0.427
5.56E+03	0.115
6.44E+03	0
7.46E+03	0
8.63E+03	0
